product_category_name_english,avg_review_score,total_reviews
cds_dvds_musicals,4.64,14
fashion_childrens_clothes,4.5,8
books_general_interest,4.45,549
costruction_tools_tools,4.44,99
flowers,4.42,31
books_imported,4.4,60
books_technical,4.36,264
luggage_accessories,4.32,1088
food_drink,4.31,277
small_appliances_home_oven_and_coffee,4.3,76
fashion_shoes,4.24,258
fashion_sport,4.23,30
food,4.22,495
music,4.21,38
stationery,4.2,2499
cine_photo,4.19,72
computers,4.18,200
pet_shop,4.18,1937
home_appliances,4.17,768
perfumery,4.17,3405
toys,4.16,4083
small_appliances,4.15,673
fashion_bags_accessories,4.15,2020
cool_stuff,4.15,3762
musical_instruments,4.15,674
health_beauty,4.14,9588
home_appliances_2,4.14,236
arts_and_craftmanship,4.12,24
tablets_printing_image,4.12,81
sports_leisure,4.11,8581
furniture_bedroom,4.11,109
industry_commerce_and_business,4.1,265
signaling_and_security,4.09,197
dvds_blu_ray,4.08,63
auto,4.06,4192
costruction_tools_garden,4.05,238
housewares,4.05,6918
construction_tools_lights,4.05,295
garden_tools,4.05,4315
construction_tools_construction,4.05,924
drinks,4.04,373
electronics,4.04,2748
consoles_games,4.02,1126
market_place,4.02,309
christmas_supplies,4.02,146
watches_gifts,4.02,5940
baby,4.01,3040
la_cuisine,4.0,13
agro_industry_and_commerce,4.0,212
fashion_underwear_beach,3.98,130
air_conditioning,3.97,292
kitchen_dining_laundry_garden_furniture,3.97,279
telephony,3.95,4512
home_construction,3.94,599
art,3.94,207
computers_accessories,3.93,7782
furniture_decor,3.91,8250
bed_bath_table,3.9,10982
furniture_living_room,3.9,498
construction_tools_safety,3.84,193
audio,3.83,360
home_confort,3.83,432
furniture_mattress_and_upholstery,3.82,38
fashio_female_clothing,3.78,48
party_supplies,3.77,43
fixed_telephony,3.68,261
fashion_male_clothing,3.64,131
home_comfort_2,3.63,27
office_furniture,3.49,1677
diapers_and_hygiene,3.26,39
security_and_services,2.5,2
