month,total_revenue
2016-09-30,252.24
2016-10-31,59090.48
2016-11-30,0.0
2016-12-31,19.62
2017-01-31,138488.04
2017-02-28,291908.01
2017-03-31,449863.6
2017-04-30,417788.03
2017-05-31,592918.82
2017-06-30,511276.38
2017-07-31,592382.92
2017-08-31,674396.32
2017-09-30,727762.45
2017-10-31,779677.88
2017-11-30,1194882.8
2017-12-31,878401.48
2018-01-31,1115004.18
2018-02-28,992463.34
2018-03-31,1159652.12
2018-04-30,1160785.48
2018-05-31,1153982.15
2018-06-30,1023880.5
2018-07-31,1066540.75
2018-08-31,1022425.32
2018-09-30,4439.54
2018-10-31,589.67
